market,auction_date,auction_volume,clearing_price,currency,cover_ratio,reference_price,source,source_url,downloaded_at,notes
EUA,2024-03-19,3099500,59.0,EUR,1.53,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-03-20,906000,57.9,EUR,1.7,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-03-21,3104500,58.0,EUR,1.6,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-03-22,1796000,57.93,EUR,1.87,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across DE.
EUA,2024-03-25,3099500,62.09,EUR,1.75,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-03-26,3099500,63.25,EUR,1.52,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-03-27,2310000,60.56,EUR,1.77,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across PL.
EUA,2024-03-28,3099500,59.86,EUR,1.46,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-04-02,3099500,57.07,EUR,1.1,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
EUA,2024-04-04,3099500,56.37,EUR,1.83,,EEX EUA Primary Market Auction Report,https://public.eex-group.com/eex/eua-auction-report/emission-spot-primary-market-auction-report-2024-data.xlsx,2026-08-16T07:25Z,Official EEX public workbook parsed by build script; successful EUA primary auctions aggregated by auction date across EU.
